transaction_id,date,amount,vendor,department,account_type,payment_method,employee,invoice_id,fraud_label,fraud_type,vendor_transaction_count,vendor_avg_amount,amount_deviation,is_round_number,transactions_per_day_vendor,is_duplicate_invoice
TX-000013,2024-01-31 22:10:00,20000.0,Vendor_090,Finance,Payroll,Card,Emp_073,INV-Vendor_090-210894,1,round_number,25,3892.3379999999997,16107.662,1,1,0
TX-000014,2024-02-01 19:13:00,14652.142920924904,Vendor_NEW_14,Marketing,Travel,Wire,Emp_060,INV-Vendor_079-510360,1,new_vendor_high,1,14652.142920924904,0.0,0,1,0
TX-000015,2024-02-26 13:58:00,218.84,Vendor_048,Legal,Supplies,Card,Emp_064,INV-Vendor_048-826150,0,normal,23,3207.9171428571435,-2989.0771428571434,0,2,0
TX-000016,2024-01-06 11:12:00,1403.67,Vendor_099,Engineering,Consulting,Check,Emp_120,INV-Vendor_099-182342,0,normal,21,2417.6414285714286,-1013.9714285714285,0,4,0
TX-000017,2024-02-09 13:42:00,2382.2,Vendor_091,Legal,Consulting,Check,Emp_075,INV-Vendor_091-874622,0,normal,23,2089.608260869565,292.5917391304347,0,10,0
TX-000018,2024-01-06 20:11:00,3357.4,Vendor_005,Legal,IT,ACH,Emp_048,INV-Vendor_005-364341,0,normal,32,4139.26089842047,-781.8608984204698,0,1,0
TX-000019,2024-02-21 15:10:00,4338.34,Vendor_047,Legal,Operations,Wire,Emp_023,INV-Vendor_047-802977,0,normal,33,2865.957997719541,1472.3820022804593,0,10,0
TX-000020,2024-02-19 07:25:00,2066.95,Vendor_082,Engineering,Travel,Wire,Emp_043,INV-Vendor_082-670392,0,normal,20,3988.878997849292,-1921.928997849292,0,5,0
TX-000021,2024-01-13 14:48:00,201.63,Vendor_045,HR,Travel,ACH,Emp_105,INV-Vendor_045-481872,0,normal,34,3352.6271875,-3150.9971875,0,10,0
TX-000022,2024-02-09 15:51:00,4486.9,Vendor_095,HR,Consulting,Wire,Emp_089,INV-Vendor_095-661146,0,normal,42,2756.728095238095,1730.1719047619044,0,5,0
TX-000023,2024-02-26 16:44:00,3299.54,Vendor_022,Marketing,Supplies,Card,Emp_009,INV-Vendor_022-307263,0,normal,33,2766.22851906831,533.3114809316899,0,1,0
TX-000024,2024-01-20 19:39:00,4189.85,Vendor_041,Sales,Supplies,Check,Emp_008,INV-Vendor_041-859187,0,normal,31,2695.650967741936,1494.1990322580646,0,1,0
TX-000025,2024-02-15 12:11:00,2683.55,Vendor_067,Support,Supplies,Wire,Emp_077,INV-Vendor_067-880709,0,normal,44,2993.467335565413,-309.91733556541294,0,4,0
TX-000026,2024-02-14 14:03:00,2787.03,Vendor_025,HR,Payroll,Card,Emp_049,INV-Vendor_025-992977,0,normal,44,2815.369772727273,-28.339772727272702,0,4,0
TX-000027,2024-02-17 22:14:00,3696.53,Vendor_006,Sales,Operations,ACH,Emp_048,INV-Vendor_006-854717,0,normal,21,4452.1197045024655,-755.5897045024653,0,8,0
TX-000028,2024-02-03 04:00:00,1239.28,Vendor_025,Support,Travel,Check,Emp_079,INV-Vendor_025-181971,0,normal,44,2815.369772727273,-1576.089772727273,0,3,0
TX-000029,2024-01-27 15:43:00,873.32,Vendor_021,Engineering,Supplies,Card,Emp_008,INV-Vendor_021-851416,0,normal,34,3005.547197344895,-2132.2271973448946,0,7,0
TX-000030,2024-01-20 21:29:00,4480.09,Vendor_005,Marketing,Consulting,ACH,Emp_063,INV-Vendor_005-892694,0,normal,32,4139.26089842047,340.8291015795303,0,1,0
TX-000031,2024-01-23 10:22:00,1767.28,Vendor_067,Finance,Travel,Card,Emp_045,INV-Vendor_067-946580,0,normal,44,2993.467335565413,-1226.1873355654132,0,1,0
TX-000032,2024-01-16 18:55:00,3922.9555401160064,Vendor_057,Sales,Supplies,Wire,Emp_084,INV-Vendor_057-610293,1,high_amount,28,3861.44182160464,61.51371851136628,0,5,0
TX-000033,2024-02-11 01:50:00,3206.83,Vendor_004,Finance,Consulting,ACH,Emp_060,INV-Vendor_004-553325,0,normal,30,3943.4157484248335,-736.5857484248336,0,1,0
TX-000034,2024-02-11 05:01:00,3634.7,Vendor_080,Operations,Travel,ACH,Emp_016,INV-Vendor_080-423996,0,normal,29,2652.113793103448,982.5862068965516,0,1,0
TX-000035,2024-03-01 19:30:00,3012.29,Vendor_017,Support,Consulting,Card,Emp_099,INV-Vendor_017-643178,0,normal,27,2857.5396296296294,154.75037037037055,0,4,0
TX-000036,2024-01-01 03:51:00,4852.89,Vendor_083,Engineering,Supplies,Check,Emp_091,INV-Vendor_083-903679,0,normal,25,2850.515,2002.3750000000005,0,4,0
TX-000037,2024-02-15 21:48:00,4414.8,Vendor_003,Legal,Consulting,Check,Emp_018,INV-Vendor_003-834837,0,normal,27,2746.7746153846156,1668.0253846153846,0,6,0
TX-000038,2024-02-26 17:42:00,1773.94,Vendor_088,Sales,IT,ACH,Emp_016,INV-Vendor_088-580915,0,normal,28,2593.798461538461,-819.8584615384611,0,4,0
TX-000039,2024-01-17 23:39:00,20000.0,Vendor_001,Finance,Consulting,Wire,Emp_119,INV-Vendor_001-538009,1,round_number,22,3603.7710087726696,16396.22899122733,1,5,0
TX-000040,2024-01-21 05:22:00,4549.06,Vendor_006,Legal,IT,ACH,Emp_087,INV-Vendor_006-656405,0,normal,21,4452.1197045024655,96.94029549753486,0,7,0
TX-000041,2024-01-31 22:46:00,3416.07,Vendor_025,Operations,Operations,Check,Emp_099,INV-Vendor_025-511393,0,normal,44,2815.369772727273,600.7002272727273,0,1,0
TX-000042,2024-02-06 13:56:00,841.34,Vendor_039,Support,IT,Wire,Emp_070,INV-Vendor_039-432720,0,normal,23,2600.143043478261,-1758.8030434782609,0,1,0
TX-000043,2024-01-10 11:47:00,1576.79,Vendor_100,Operations,Travel,Check,Emp_049,INV-Vendor_100-895559,0,normal,26,2712.692692307692,-1135.9026923076922,0,1,0
TX-000044,2024-02-25 00:32:00,3590.09,Vendor_031,Engineering,Operations,Check,Emp_057,INV-Vendor_031-591874,0,normal,37,2623.9062292690023,966.1837707309978,0,5,0
TX-000045,2024-01-10 21:29:00,3186.28,Vendor_025,Finance,Operations,Check,Emp_021,INV-Vendor_025-993109,0,normal,44,2815.369772727273,370.9102272727273,0,2,0
TX-000046,2024-01-05 00:44:00,3100.93,Vendor_024,Finance,IT,ACH,Emp_034,INV-Vendor_024-629000,0,normal,22,3212.8424589157476,-111.91245891574772,0,1,0
TX-000047,2024-02-06 23:53:00,2342.02,Vendor_045,Finance,Consulting,Wire,Emp_093,INV-Vendor_045-280268,0,normal,34,3352.6271875,-1010.6071875000002,0,10,0
TX-000048,2024-01-04 18:00:00,4116.17,Vendor_014,Finance,Payroll,Card,Emp_089,INV-Vendor_014-623308,0,normal,36,2134.2634285714284,1981.9065714285716,0,2,0
TX-000049,2024-02-03 16:58:00,4881.57,Vendor_079,Marketing,Travel,Check,Emp_057,INV-Vendor_079-191672,0,normal,29,2672.4585185185188,2209.111481481481,0,1,0
TX-000050,2024-02-13 05:40:00,2197.75,Vendor_003,Legal,Operations,Card,Emp_029,INV-Vendor_003-434910,0,normal,27,2746.7746153846156,-549.0246153846156,0,4,0
TX-000051,2024-01-29 16:42:00,20000.0,Vendor_090,HR,Travel,Card,Emp_048,INV-Vendor_090-946790,1,round_number,25,3892.3379999999997,16107.662,1,1,0
TX-000052,2024-01-03 08:41:00,3388.46,Vendor_054,HR,Consulting,Wire,Emp_054,INV-Vendor_054-183133,0,normal,23,3005.8517391304345,382.6082608695656,0,1,0
TX-000053,2024-01-05 22:36:00,3124.65,Vendor_057,Legal,Payroll,Check,Emp_106,INV-Vendor_057-886965,0,normal,28,3861.44182160464,-736.7918216046401,0,5,0
TX-000054,2024-02-16 09:49:00,27712.53679799789,Vendor_062,Sales,Supplies,ACH,Emp_092,INV-Vendor_062-368941,1,high_amount,32,3565.037712437434,24147.499085560456,0,7,0
TX-000055,2024-02-09 06:35:00,809.78,Vendor_096,Operations,Consulting,ACH,Emp_106,INV-Vendor_096-155446,0,normal,35,3281.264857142857,-2471.4848571428574,0,5,0
TX-000056,2024-02-20 12:19:00,2178.67,Vendor_002,Marketing,Operations,Card,Emp_092,INV-Vendor_002-398291,0,normal,29,2921.2093209032923,-742.5393209032923,0,4,0
TX-000057,2024-02-25 11:49:00,4486.86,Vendor_054,Operations,Consulting,Card,Emp_105,INV-Vendor_054-961449,0,normal,23,3005.8517391304345,1481.0082608695652,0,1,0
TX-000058,2024-02-17 11:07:00,2126.16,Vendor_090,Support,Consulting,Check,Emp_100,INV-Vendor_090-674559,0,normal,25,3892.3379999999997,-1766.1779999999999,0,1,0
TX-000059,2024-01-06 20:17:00,3673.6,Vendor_042,Operations,Operations,Card,Emp_055,INV-Vendor_042-369969,0,normal,30,3465.2441635710875,208.35583642891243,0,7,0
TX-000060,2024-01-12 23:41:00,1396.65,Vendor_022,Marketing,Travel,ACH,Emp_022,INV-Vendor_049-665340,1,duplicate_invoice,33,2766.22851906831,-1369.57851906831,0,1,1
TX-000061,2024-02-05 20:45:00,2384.49,Vendor_040,Marketing,Travel,ACH,Emp_078,INV-Vendor_040-578241,0,normal,32,3123.052929000477,-738.5629290004772,0,4,0
TX-000062,2024-01-24 16:23:00,1576.71,Vendor_037,Legal,Travel,Check,Emp_086,INV-Vendor_037-528619,0,normal,34,2707.582727272727,-1130.872727272727,0,6,0
TX-000063,2024-02-06 20:29:00,1060.1,Vendor_001,Operations,Consulting,ACH,Emp_027,INV-Vendor_001-983899,0,normal,22,3603.7710087726696,-2543.6710087726697,0,4,0
TX-000064,2024-02-25 09:16:00,1368.55,Vendor_032,Operations,Operations,Check,Emp_107,INV-Vendor_032-722540,0,normal,39,2537.203758786566,-1168.6537587865662,0,14,0
TX-000065,2024-02-05 18:09:00,2758.41,Vendor_095,Engineering,Operations,Check,Emp_095,INV-Vendor_095-420938,0,normal,42,2756.728095238095,1.6819047619046614,0,4,0
TX-000066,2024-01-22 14:57:00,1210.16,Vendor_032,Sales,Consulting,Card,Emp_089,INV-Vendor_032-903429,0,normal,39,2537.203758786566,-1327.043758786566,0,14,0
TX-000067,2024-02-07 02:08:00,4520.71,Vendor_081,Marketing,Operations,ACH,Emp_060,INV-Vendor_081-409780,0,normal,30,3787.006065906091,733.7039340939091,0,5,0
TX-000068,2024-02-11 10:50:00,1848.99,Vendor_021,Marketing,Operations,Card,Emp_093,INV-Vendor_021-550886,0,normal,34,3005.547197344895,-1156.5571973448948,0,10,0
TX-000069,2024-01-10 16:00:00,481.97,Vendor_095,Marketing,Consulting,Wire,Emp_055,INV-Vendor_095-821577,0,normal,42,2756.728095238095,-2274.758095238095,0,5,0
TX-000070,2024-01-24 19:44:00,4683.62,Vendor_008,Engineering,Operations,Card,Emp_043,INV-Vendor_008-132700,1,high_frequency,38,2659.1583783783785,2024.4616216216214,0,12,0
TX-000071,2024-02-14 19:02:00,2612.56,Vendor_043,Marketing,Payroll,ACH,Emp_084,INV-Vendor_043-563397,0,normal,36,3072.333244872456,-459.77324487245596,0,11,0
TX-000072,2024-02-09 14:46:00,2317.4,Vendor_066,Marketing,Payroll,Wire,Emp_014,INV-Vendor_066-482473,0,normal,32,2144.8066657789423,172.59333422105783,0,5,0
TX-000073,2024-02-15 02:40:00,3078.67,Vendor_060,Legal,Consulting,Check,Emp_061,INV-Vendor_060-823167,0,normal,28,3524.8804552927822,-446.21045529278217,0,7,0
TX-000074,2024-02-16 01:46:00,4426.54,Vendor_044,HR,Payroll,Wire,Emp_095,INV-Vendor_044-444993,0,normal,35,3137.537058823529,1289.0029411764708,0,5,0
TX-000075,2024-02-21 15:08:00,2642.71,Vendor_008,Operations,Consulting,Card,Emp_108,INV-Vendor_008-851573,0,normal,38,2659.1583783783785,-16.448378378378493,0,12,0
TX-000076,2024-01-28 18:24:00,639.71,Vendor_031,Support,Travel,Card,Emp_005,INV-Vendor_031-236406,0,normal,37,2623.9062292690023,-1984.1962292690023,0,4,0
TX-000077,2024-02-04 18:53:00,3188.3,Vendor_098,Finance,IT,Check,Emp_033,INV-Vendor_098-585899,0,normal,33,3524.635628271743,-336.33562827174273,0,2,0
TX-000078,2024-01-25 05:32:00,3866.13,Vendor_061,Marketing,IT,Wire,Emp_094,INV-Vendor_061-733083,0,normal,41,3458.074275803163,408.0557241968372,0,1,0
TX-000079,2024-02-25 12:32:00,4144.45,Vendor_029,Legal,Travel,ACH,Emp_105,INV-Vendor_044-279801,1,duplicate_invoice,23,3015.4890476190476,1128.9609523809522,0,2,1
TX-000080,2024-01-10 19:39:00,1730.38,Vendor_047,Legal,Payroll,Wire,Emp_035,INV-Vendor_047-700179,0,normal,33,2865.957997719541,-1135.5779977195407,0,11,0
TX-000081,2024-02-11 08:26:00,2718.31,Vendor_078,Marketing,Consulting,Check,Emp_064,INV-Vendor_078-747223,0,normal,25,3293.4391947043987,-575.1291947043987,0,1,0
TX-000082,2024-02-18 00:22:00,4211.29,Vendor_028,Support,Supplies,Check,Emp_108,INV-Vendor_089-793879,1,duplicate_invoice,37,3803.5322467308665,407.75775326913345,0,7,1
TX-000083,2024-02-05 21:33:00,3416.75,Vendor_054,Legal,Payroll,Card,Emp_050,INV-Vendor_054-558532,0,normal,23,3005.8517391304345,410.89826086956555,0,1,0
TX-000084,2024-01-09 01:17:00,3628.82,Vendor_096,Sales,Operations,Check,Emp_095,INV-Vendor_096-432400,0,normal,35,3281.264857142857,347.555142857143,0,5,0
TX-000085,2024-01-13 20:54:00,2537.6,Vendor_057,Engineering,Consulting,ACH,Emp_064,INV-Vendor_057-422985,0,normal,28,3861.44182160464,-1323.8418216046402,0,4,0
TX-000086,2024-01-29 10:24:00,2274.0,Vendor_039,Support,Consulting,Card,Emp_071,INV-Vendor_046-507705,1,duplicate_invoice,23,2600.143043478261,-326.143043478261,0,2,1
TX-000087,2024-02-02 14:03:00,220.82,Vendor_069,Support,IT,Check,Emp_098,INV-Vendor_069-346756,0,normal,24,2413.8735,-2193.0535,0,1,0
TX-000088,2024-01-01 17:22:00,4867.3,Vendor_006,Legal,IT,ACH,Emp_111,INV-Vendor_006-944688,0,normal,21,4452.1197045024655,415.18029549753464,0,8,0
TX-000089,2024-01-01 03:28:00,1557.91,Vendor_014,Support,Consulting,ACH,Emp_079,INV-Vendor_014-190506,0,normal,36,2134.2634285714284,-576.3534285714284,0,1,0
TX-000090,2024-02-12 16:04:00,242.49,Vendor_047,Engineering,Supplies,Card,Emp_058,INV-Vendor_047-337455,0,normal,33,2865.957997719541,-2623.467997719541,0,10,0
TX-000091,2024-02-13 07:04:00,2057.52,Vendor_033,Marketing,Consulting,ACH,Emp_031,INV-Vendor_033-221305,0,normal,28,2550.7607142857146,-493.2407142857146,0,4,0
TX-000092,2024-01-06 18:04:00,2215.69,Vendor_040,HR,Supplies,Check,Emp_074,INV-Vendor_040-436569,0,normal,32,3123.052929000477,-907.3629290004769,0,5,0
TX-000093,2024-01-14 16:46:00,4389.19,Vendor_069,Support,IT,Wire,Emp_059,INV-Vendor_069-534743,0,normal,24,2413.8735,1975.3164999999995,0,1,0
TX-000094,2024-02-12 06:06:00,1821.6,Vendor_016,HR,Supplies,Card,Emp_039,INV-Vendor_016-889417,0,normal,42,4104.852509181274,-2283.2525091812745,0,5,0
TX-000095,2024-02-04 09:41:00,4045.38,Vendor_017,Marketing,Travel,ACH,Emp_001,INV-Vendor_017-700092,0,normal,27,2857.5396296296294,1187.8403703703707,0,5,0
TX-000096,2024-02-25 18:26:00,1225.47,Vendor_036,Engineering,Consulting,Wire,Emp_028,INV-Vendor_036-673746,0,normal,32,3055.038064516129,-1829.568064516129,0,4,0
TX-000097,2024-01-21 18:06:00,498.37,Vendor_064,Finance,Payroll,ACH,Emp_038,INV-Vendor_064-803110,0,normal,33,2813.544242424243,-2315.174242424243,0,3,0
TX-000098,2024-02-12 00:29:00,4738.34,Vendor_040,Marketing,Payroll,Check,Emp_006,INV-Vendor_040-920286,0,normal,32,3123.052929000477,1615.2870709995232,0,4,0
TX-000099,2024-01-29 18:25:00,1147.92,Vendor_032,Sales,Supplies,Check,Emp_022,INV-Vendor_032-479338,1,high_frequency,39,2537.203758786566,-1389.283758786566,0,14,0
TX-000100,2024-02-20 20:27:00,4498.63,Vendor_083,Marketing,Consulting,ACH,Emp_108,INV-Vendor_083-461995,0,normal,25,2850.515,1648.1150000000002,0,4,0
TX-000101,2024-02-20 16:27:00,2748.77,Vendor_035,Sales,Supplies,Card,Emp_006,INV-Vendor_035-416605,0,normal,35,2498.9767647058825,249.7932352941175,0,4,0
TX-000102,2024-02-23 06:24:00,3865.04,Vendor_065,Legal,Consulting,Wire,Emp_007,INV-Vendor_065-894777,0,normal,35,3155.7917276126786,709.2482723873213,0,2,0
TX-000103,2024-02-23 22:36:00,645.47,Vendor_087,Sales,Operations,Check,Emp_091,INV-Vendor_087-975306,1,high_frequency,26,2325.0704,-1679.6004,0,4,0
TX-000104,2024-02-05 04:33:00,3961.59,Vendor_019,Support,Consulting,ACH,Emp_069,INV-Vendor_019-645197,0,normal,31,2977.7130705628747,983.8769294371255,0,10,0
TX-000105,2024-01-29 04:46:00,4739.53,Vendor_058,Sales,Supplies,Card,Emp_004,INV-Vendor_058-206396,0,normal,34,2718.410294117647,2021.1197058823527,0,1,0
TX-000106,2024-01-20 14:01:00,1713.52,Vendor_049,Support,Operations,Wire,Emp_100,INV-Vendor_049-115226,0,normal,35,2968.721142857143,-1255.2011428571432,0,4,0
TX-000107,2024-01-01 13:50:00,4595.95,Vendor_098,Marketing,Supplies,Check,Emp_015,INV-Vendor_098-130607,0,normal,33,3524.635628271743,1071.314371728257,0,1,0
TX-000108,2024-01-30 12:40:00,5000.0,Vendor_065,Support,Consulting,ACH,Emp_084,INV-Vendor_065-994971,1,round_number,35,3155.7917276126786,1844.2082723873214,1,1,0
TX-000109,2024-02-13 12:38:00,2928.26,Vendor_012,Marketing,Payroll,Check,Emp_015,INV-Vendor_012-714954,0,normal,32,2499.3235160701242,428.936483929876,0,1,0
TX-000110,2024-02-14 08:43:00,3331.21,Vendor_003,Legal,Travel,Wire,Emp_107,INV-Vendor_003-868990,0,normal,27,2746.7746153846156,584.4353846153845,0,4,0
TX-000111,2024-02-07 01:12:00,2877.68,Vendor_067,Sales,Supplies,Check,Emp_094,INV-Vendor_067-740453,0,normal,44,2993.467335565413,-115.78733556541329,0,1,0
TX-000112,2024-02-23 13:53:00,10000.0,Vendor_037,Operations,Consulting,Wire,Emp_078,INV-Vendor_037-642199,1,round_number,34,2707.582727272727,7292.417272727273,1,4,0
TX-000113,2024-01-01 02:23:00,1670.11,Vendor_015,Support,Travel,Wire,Emp_101,INV-Vendor_015-161762,0,normal,31,2923.1236666666664,-1253.0136666666665,0,2,0
TX-000114,2024-01-23 08:40:00,215.46,Vendor_038,Sales,Consulting,ACH,Emp_019,INV-Vendor_038-609117,0,normal,26,2540.0492307692307,-2324.5892307692307,0,1,0
TX-000115,2024-02-20 08:28:00,4605.7,Vendor_032,Finance,Consulting,Card,Emp_043,INV-Vendor_032-949115,1,high_frequency,39,2537.203758786566,2068.4962412134337,0,13,0
TX-000116,2024-01-30 06:20:00,4937.5,Vendor_083,HR,Supplies,Wire,Emp_055,INV-Vendor_083-932327,0,normal,25,2850.515,2086.985,0,4,0
TX-000117,2024-01-25 20:37:00,10843.703499894566,Vendor_030,Marketing,Operations,Wire,Emp_020,INV-Vendor_030-772308,1,high_amount,23,3033.8827608649813,7809.820739029585,0,7,0
TX-000118,2024-01-30 20:06:00,1581.04,Vendor_022,Sales,IT,Check,Emp_003,INV-Vendor_022-684217,0,normal,33,2766.22851906831,-1185.1885190683101,0,3,0
TX-000119,2024-02-11 07:40:00,1831.66,Vendor_058,HR,IT,Wire,Emp_034,INV-Vendor_058-726865,0,normal,34,2718.410294117647,-886.750294117647,0,1,0
TX-000120,2024-02-05 08:07:00,767.25,Vendor_055,Engineering,Supplies,Wire,Emp_018,INV-Vendor_055-353643,0,normal,35,2730.5511428571426,-1963.3011428571426,0,14,0
TX-000121,2024-01-06 11:38:00,1532.71,Vendor_078,Legal,IT,Card,Emp_098,INV-Vendor_078-974953,0,normal,25,3293.4391947043987,-1760.7291947043987,0,1,0
TX-000122,2024-01-21 19:57:00,3632.14,Vendor_050,Marketing,IT,ACH,Emp_016,INV-Vendor_050-230137,0,normal,26,2861.6157661684847,770.5242338315152,0,2,0
TX-000123,2024-02-01 10:36:00,3974.51,Vendor_046,Finance,Payroll,Card,Emp_048,INV-Vendor_046-790442,0,normal,33,3052.1432305611957,922.3667694388046,0,4,0
TX-000124,2024-02-27 00:36:00,4155.86,Vendor_055,Support,Operations,ACH,Emp_087,INV-Vendor_055-549251,0,normal,35,2730.5511428571426,1425.308857142857,0,13,0
TX-000125,2024-02-09 14:57:00,2150.23,Vendor_002,Marketing,Travel,Check,Emp_019,INV-Vendor_002-277835,0,normal,29,2921.2093209032923,-770.9793209032923,0,4,0
TX-000126,2024-01-08 15:31:00,1902.81,Vendor_090,Operations,Payroll,Card,Emp_118,INV-Vendor_090-659741,0,normal,25,3892.3379999999997,-1989.5279999999998,0,2,0
TX-000127,2024-01-06 05:51:00,2099.29,Vendor_004,Support,Supplies,ACH,Emp_043,INV-Vendor_004-863311,0,normal,30,3943.4157484248335,-1844.1257484248335,0,2,0
TX-000128,2024-01-31 23:37:00,856.86,Vendor_043,Sales,Consulting,Card,Emp_054,INV-Vendor_043-362952,0,normal,36,3072.333244872456,-2215.473244872456,0,10,0
TX-000129,2024-02-17 04:11:00,4474.06,Vendor_089,Operations,Supplies,Check,Emp_026,INV-Vendor_089-191232,0,normal,29,4049.3871695268895,424.67283047311093,0,7,0
TX-000130,2024-03-01 14:16:00,2829.63,Vendor_016,Marketing,Consulting,ACH,Emp_098,INV-Vendor_016-638811,0,normal,42,4104.852509181274,-1275.2225091812743,0,5,0
TX-000131,2024-01-04 09:13:00,3646.75,Vendor_016,Sales,Travel,Wire,Emp_024,INV-Vendor_016-103937,0,normal,42,4104.852509181274,-458.1025091812744,0,5,0
TX-000132,2024-01-12 17:49:00,3448.82,Vendor_067,HR,Payroll,Check,Emp_011,INV-Vendor_067-809580,0,normal,44,2993.467335565413,455.35266443458704,0,2,0
TX-000133,2024-02-07 10:10:00,184.95,Vendor_056,Support,Payroll,Wire,Emp_097,INV-Vendor_056-800495,0,normal,23,2481.271304347826,-2296.3213043478263,0,1,0
TX-000134,2024-01-26 16:25:00,4830.5,Vendor_062,Sales,Payroll,Card,Emp_067,INV-Vendor_062-813589,0,normal,32,3565.037712437434,1265.462287562566,0,7,0
TX-000135,2024-02-29 06:13:00,3838.62,Vendor_014,Support,Payroll,Wire,Emp_083,INV-Vendor_014-558562,0,normal,36,2134.2634285714284,1704.3565714285714,0,1,0
TX-000136,2024-01-21 12:12:00,2883.9,Vendor_043,Support,Consulting,ACH,Emp_107,INV-Vendor_034-693718,1,duplicate_invoice,36,3072.333244872456,-188.43324487245582,0,11,1
TX-000137,2024-02-21 21:49:00,1181.42,Vendor_053,Support,Operations,Check,Emp_041,INV-Vendor_053-923617,0,normal,32,5061.836796882053,-3880.416796882053,0,2,0
TX-000138,2024-02-17 03:05:00,2351.67,Vendor_067,Sales,IT,Check,Emp_046,INV-Vendor_067-483883,0,normal,44,2993.467335565413,-641.797335565413,0,1,0
TX-000139,2024-01-13 23:34:00,1117.64,Vendor_010,Finance,Consulting,Card,Emp_084,INV-Vendor_010-745582,0,normal,22,2547.3354466749174,-1429.6954466749173,0,1,0
TX-000140,2024-02-18 21:54:00,3357.94,Vendor_039,Legal,Supplies,ACH,Emp_029,INV-Vendor_039-770058,0,normal,23,2600.143043478261,757.796956521739,0,2,0
TX-000141,2024-02-23 13:28:00,3409.63,Vendor_043,Support,Travel,Card,Emp_035,INV-Vendor_043-174891,0,normal,36,3072.333244872456,337.2967551275442,0,10,0
TX-000142,2024-02-13 07:02:00,3840.97,Vendor_009,Sales,Supplies,Check,Emp_104,INV-Vendor_009-302494,0,normal,23,2132.1145454545454,1708.8554545454544,0,1,0
TX-000143,2024-02-24 19:53:00,1528.17,Vendor_098,Sales,Payroll,ACH,Emp_091,INV-Vendor_098-757795,0,normal,33,3524.635628271743,-1996.4656282717428,0,1,0
TX-000144,2024-02-14 21:32:00,173.88,Vendor_010,Engineering,Operations,Card,Emp_059,INV-Vendor_010-153365,0,normal,22,2547.3354466749174,-2373.4554466749173,0,1,0
TX-000145,2024-03-01 09:16:00,1036.8,Vendor_031,Legal,Supplies,Wire,Emp_105,INV-Vendor_031-716092,1,high_frequency,37,2623.9062292690023,-1587.1062292690024,0,4,0
TX-000146,2024-01-02 20:23:00,235.06,Vendor_034,Legal,Travel,ACH,Emp_072,INV-Vendor_034-179619,0,normal,31,2820.5182405182827,-2585.4582405182828,0,1,0
TX-000147,2024-01-13 03:40:00,1184.75,Vendor_032,Sales,Supplies,Card,Emp_059,INV-Vendor_032-671406,1,high_frequency,39,2537.203758786566,-1352.4537587865661,0,14,0
